gal,wavelength_number,wavelength,AlAv,AlAv_err,tags,ref
MW,2.73224,0.366000058560009,1.56565,0.00780019,band,Gordon2009
MW,2.28311,0.437999045162082,1.32284,0.00339236,band,Gordon2009
MW,1.81,0.552486187845304,1,0,band,Gordon2009
MW,0.819672,1.22000019520003,0.279132,0.00541381,band,Gordon2009
MW,0.613497,1.62999982070002,0.181795,0.00405128,band,Gordon2009
MW,0.456621,2.1900000219,0.104162,0.00474045,band,Gordon2009
MW,8.67238,0.11530860040727,3.65928,0.0872464,iue,Gordon2009
MW,8.63766,0.115772095683322,3.63298,0.0870429,iue,Gordon2009
MW,8.60307,0.116237575656132,3.62795,0.0884721,iue,Gordon2009
MW,8.56862,0.116704906974519,3.6208,0.0856429,iue,Gordon2009
MW,8.53431,0.117174089059338,3.64341,0.085733,iue,Gordon2009
MW,8.50013,0.117645259543089,3.53765,0.0870081,iue,Gordon2009
MW,8.46609,0.118118281284513,3.53677,0.0868195,iue,Gordon2009
MW,8.43219,0.118593153142896,3.5427,0.0824011,iue,Gordon2009
MW,8.39843,0.119069873774027,3.56652,0.0831442,iue,Gordon2009
MW,8.06812,0.123944611631954,3.29218,0.0700169,iue,Gordon2009
MW,8.03582,0.124442807330179,3.23503,0.0753427,iue,Gordon2009
MW,8.00364,0.124943150866356,3.2238,0.0706412,iue,Gordon2009
MW,7.97159,0.125445488290291,3.22317,0.0708828,iue,Gordon2009
MW,7.93967,0.125949819073085,3.22866,0.0725433,iue,Gordon2009
MW,7.90787,0.126456302392427,3.20417,0.0718813,iue,Gordon2009
MW,7.87621,0.126964618769687,3.15837,0.0733914,iue,Gordon2009
MW,7.84467,0.127475088180892,3.16327,0.0746335,iue,Gordon2009
MW,7.81326,0.127987549371197,3.1708,0.070549,iue,Gordon2009
MW,7.78197,0.128502165904006,3.1334,0.0701482,iue,Gordon2009
MW,7.75081,0.129018773521735,3.12145,0.0751515,iue,Gordon2009
MW,7.71977,0.12953753803546,3.11992,0.0703968,iue,Gordon2009
MW,7.68886,0.130058292126531,3.07658,0.0704839,iue,Gordon2009
MW,7.65807,0.130581203880351,3.08156,0.0716527,iue,Gordon2009
MW,7.6274,0.131106274746309,3.04455,0.0665725,iue,Gordon2009
MW,7.59686,0.131633332719044,3.02463,0.0645906,iue,Gordon2009
MW,7.56644,0.132162549362712,3.01345,0.0646839,iue,Gordon2009
MW,7.53614,0.132693925537477,3.02961,0.0667977,iue,Gordon2009
MW,7.50596,0.133227461910269,2.9983,0.0638441,iue,Gordon2009
MW,7.47591,0.133762980025174,2.97199,0.0644936,iue,Gordon2009
MW,7.44597,0.134300836559911,2.97655,0.0646092,iue,Gordon2009
MW,7.41616,0.134840672261656,2.95303,0.0632691,iue,Gordon2009
MW,7.38646,0.135382849159137,2.92917,0.062183,iue,Gordon2009
MW,7.35688,0.135927186524722,2.9315,0.0614076,iue,Gordon2009
MW,7.32742,0.136473683779557,2.90957,0.0609257,iue,Gordon2009
MW,7.29808,0.137022340122334,2.92098,0.062895,iue,Gordon2009
MW,7.26886,0.137573154524919,2.89773,0.0621621,iue,Gordon2009
MW,7.23975,0.138126316516454,2.9216,0.0616836,iue,Gordon2009
MW,7.21076,0.138681636887097,2.96812,0.0667685,iue,Gordon2009
MW,7.18189,0.139239113937975,2.92843,0.0637902,iue,Gordon2009
