reference,wavelength,albedo,albedo_err,g,g_err
Mathis et al 1981 (Orion),1300,0.43,0.13,0.6,0.18
Mathis et al 1981 (Orion),1490,0.43,0.13,0.53,0.16
Mathis et al 1981 (Orion),1760,0.47,0.14,0.25,0.22
Mathis et al 1981 (Orion),2000,0.42,0.13,0.4,0.2
Mathis et al 1981 (Orion),2175,0.43,0.13,0.36,0.23
Mathis et al 1981 (Orion),2370,0.49,0.15,0.29,0.29
Mathis et al 1981 (Orion),2510,0.51,0.15,0.29,0.29
Mathis et al 1981 (Orion),3000,0.32,0.1,0.57,0.07
"Laureijs, et al. 1987 (L1642)",3450,0.45,0.25,-1,0
"Laureijs, et al. 1987 (L1642)",3850,0.39,0.23,-1,0
"Laureijs, et al. 1987 (L1642)",4150,0.48,0.22,-1,0
"Laureijs, et al. 1987 (L1642)",4700,0.45,0.21,-1,0
"Laureijs, et al. 1987 (L1642)",5500,0.52,0.21,-1,0
Witt et al. 1982 (NGC 7023),5515,0.6,0.05,0.63,0.1
Witt et al. 1982 (NGC 7023),4733,0.56,0.05,0.63,0.1
Witt et al. 1982 (NGC 7023),4093,0.58,0.05,0.6,0.1
Witt et al. 1982 (NGC 7023),3470,0.55,0.05,0.56,0.1
Witt et al. 1982 (NGC 7023),2500,0.47,0.05,0.5,0.1
Witt et al. 1982 (NGC 7023),2000,0.42,0.05,0.4,0.1
Witt et al. 1982 (NGC 7023),1700,0.52,0.05,0.35,0.1
Witt et al. 1982 (NGC 7023),1400,0.6,0.05,0.25,0.1
Mathis 1973 (DGL),3600,0.71,0.2,-1,0
Mathis 1973 (DGL),4350,0.71,0.2,-1,0
Witt et al. 1982 (NGC 7023),5515,0.6,0.05,0.63,0.1
Witt et al. 1982 (NGC 7023),4733,0.56,0.05,0.63,0.1
Witt et al. 1982 (NGC 7023),4093,0.58,0.05,0.6,0.1
Witt et al. 1982 (NGC 7023),3470,0.55,0.05,0.56,0.1
Witt et al. 1982 (NGC 7023),2500,0.47,0.05,-1,0
Witt et al. 1982 (NGC 7023),2000,0.42,0.05,-1,0
Witt et al. 1982 (NGC 7023),1700,0.52,0.05,-1,0
Witt et al. 1982 (NGC 7023),1400,0.6,0.05,-1,0
Lewis et al. 2007 (Sco OB2),1769,0.59,0.07,-1,0
Lewis et al. 2007 (Sco OB2),1362,0.54,0.06,-1,0
Lewis et al. 2007 (Sco OB2),1261,0.66,0.06,-1,0
Lewis et al. 2007 (Sco OB2),1106,0.31,0.07,-1,0
Lewis et al. 2007 (Sco OB2),973,0.29,0.13,-1,0
Witt et al. 1990 (Bok globule),4690,0.8,0.05,0.77,0.09
Witt et al. 1990 (Bok globule),6500,0.6,0.06,0.59,0.1
Witt et al. 1990 (Bok globule),8560,0.58,0.04,0.81,0.07
Lillie & Witt 1976 (DGL/OAO-2),1550,0.6,0.05,0.7,0.1
Lillie & Witt 1976 (DGL/OAO-2),1910,0.4,0.05,0.9,0.15
Lillie & Witt 1976 (DGL/OAO-2),2040,0.35,0.05,0.9,0.15
Lillie & Witt 1976 (DGL/OAO-2),2390,0.4,0.05,0.7,0.15
Lillie & Witt 1976 (DGL/OAO-2),2460,0.4,0.05,0.75,0.15
Lillie & Witt 1976 (DGL/OAO-2),2960,0.6,0.05,0.6,0.1
Lillie & Witt 1976 (DGL/OAO-2),3320,0.7,0.1,0.6,0.1
Lillie & Witt 1976 (DGL/OAO-2),4250,0.65,0.05,0.7,0.1
Gordon et al. 1994 (Sco OB2),1769,0.6365,0.0835,-1,0
Gordon et al. 1994 (Sco OB2),1362,0.589,0.115,0.6,0.1
