composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.05,1.90231E-16,1.90225E-16,6.50925E-21,3.42176E-05,0.000275342,0,2.06498E-47
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0525665,2.20306E-16,2.20299E-16,6.9783E-21,3.16756E-05,0.00024527,0,5.53246E-46
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0552647,2.54214E-16,2.54207E-16,7.47485E-21,2.94038E-05,0.00021841,0,1.51709E-44
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0581015,2.98576E-16,2.98568E-16,7.88408E-21,2.64056E-05,0.000194389,0,4.7926E-43
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0610839,4.1422E-16,4.14212E-16,8.38067E-21,2.02324E-05,0.000171204,0,1.95749E-41
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0642193,5.23491E-16,5.23482E-16,9.33406E-21,1.78304E-05,0.000148074,0,7.10053E-40
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0675157,6.26176E-16,6.26165E-16,1.09627E-20,1.75073E-05,0.000124772,0,2.19014E-38
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0709813,7.19443E-16,7.19432E-16,1.13071E-20,1.57164E-05,0.000104612,0,5.64151E-37
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0746248,6.72154E-16,6.72145E-16,9.86514E-21,1.46769E-05,9.02483E-05,0,1.01937E-35
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0784553,5.28191E-16,5.28183E-16,7.6483E-21,1.44802E-05,8.06931E-05,0,1.33885E-34
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0824824,4.19259E-16,4.19253E-16,5.3791E-21,1.283E-05,7.54456E-05,0,1.54291E-33
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0867162,3.51212E-16,3.51208E-16,4.14557E-21,1.18036E-05,7.24558E-05,0,1.63993E-32
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.0911674,3.06456E-16,3.06453E-16,3.47758E-21,1.13477E-05,7.03679E-05,0,1.59684E-31
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.095847,2.74261E-16,2.74258E-16,2.75913E-21,1.00603E-05,7.42E-05,0,1.41122E-30
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.100767,2.40761E-16,2.40759E-16,1.88279E-21,7.82015E-06,8.65405E-05,0,1.08914E-29
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.105939,2.09911E-16,2.0991E-16,1.3046E-21,6.21502E-06,9.33548E-05,0,7.47457E-29
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.111377,1.80147E-16,1.80146E-16,7.98156E-22,4.43058E-06,0.00010684,0,4.54569E-28
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.117094,1.52694E-16,1.52694E-16,4.9772E-22,3.25959E-06,9.78249E-05,0,2.4709E-27
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.123105,1.2836E-16,1.2836E-16,3.24347E-22,2.52686E-06,8.3924E-05,0,1.21148E-26
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.129424,1.07982E-16,1.07981E-16,2.08665E-22,1.93242E-06,7.05812E-05,0,5.43178E-26
PAH-ionized,1,3.55E-08,0,True,18595300,0.136239,100,IRSF,1,-1,0.136067,9.79397E-17,9.79395E-17,1.35199E-22,1.38043E-06,5.97172E-05,0,2.4103E-25
