composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.05,1.90231E-16,1.90225E-16,6.50925E-21,3.42176E-05,0.000275342,0,8.17967E-46
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0525665,2.20306E-16,2.20299E-16,6.9783E-21,3.16756E-05,0.00024527,0,1.84963E-44
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0552647,2.54214E-16,2.54207E-16,7.47485E-21,2.94038E-05,0.00021841,0,3.70216E-43
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0581015,2.98576E-16,2.98568E-16,7.88408E-21,2.64056E-05,0.000194389,0,7.13108E-42
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0610839,4.1422E-16,4.14212E-16,8.38067E-21,2.02324E-05,0.000171204,0,1.70124E-40
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0642193,5.23491E-16,5.23482E-16,9.33406E-21,1.78304E-05,0.000148074,0,4.18901E-39
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0675157,6.26176E-16,6.26165E-16,1.09627E-20,1.75073E-05,0.000124772,0,1.0603E-37
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0709813,7.19443E-16,7.19432E-16,1.13071E-20,1.57164E-05,0.000104612,0,2.5201E-36
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0746248,6.72154E-16,6.72145E-16,9.86514E-21,1.46769E-05,9.02483E-05,0,4.42959E-35
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0784553,5.28191E-16,5.28183E-16,7.6483E-21,1.44802E-05,8.06931E-05,0,5.78121E-34
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0824824,4.19259E-16,4.19253E-16,5.3791E-21,1.283E-05,7.54456E-05,0,6.67749E-33
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0867162,3.51212E-16,3.51208E-16,4.14557E-21,1.18036E-05,7.24558E-05,0,7.13995E-32
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.0911674,3.06456E-16,3.06453E-16,3.47758E-21,1.13477E-05,7.03679E-05,0,7.00698E-31
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.095847,2.74261E-16,2.74258E-16,2.75913E-21,1.00603E-05,7.42E-05,0,6.24825E-30
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.100767,2.40761E-16,2.40759E-16,1.88279E-21,7.82016E-06,8.65405E-05,0,4.86986E-29
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.105939,2.0991E-16,2.09909E-16,1.3046E-21,6.21505E-06,9.33548E-05,0,3.37779E-28
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.111377,1.80146E-16,1.80145E-16,7.98156E-22,4.43062E-06,0.00010684,0,2.07778E-27
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.117094,1.52691E-16,1.5269E-16,4.9772E-22,3.25966E-06,9.78249E-05,0,1.1433E-26
PAH-neutral,0,3.55E-08,0,True,23653700,0.607403,100,IRSF,1,-1,0.123105,1.28353E-16,1.28353E-16,3.24347E-22,2.52699E-06,8.3924E-05,0,5.67929E-26
