composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.05,1.90231E-16,1.90225E-16,6.50925E-21,3.42176E-05,0.000275342,0,1.6529E-46
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0525665,2.20306E-16,2.20299E-16,6.9783E-21,3.16756E-05,0.00024527,0,3.82732E-45
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0552647,2.54214E-16,2.54207E-16,7.47485E-21,2.94038E-05,0.00021841,0,8.24434E-44
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0581015,2.98475E-16,2.98467E-16,7.88408E-21,2.64146E-05,0.000194389,0,1.88648E-42
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0610839,4.13347E-16,4.13339E-16,8.38067E-21,2.02751E-05,0.000171204,0,5.84994E-41
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0642193,5.22072E-16,5.22063E-16,9.33406E-21,1.78789E-05,0.000148074,0,1.82741E-39
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0675157,6.24565E-16,6.24554E-16,1.09627E-20,1.75525E-05,0.000124772,0,5.30315E-38
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0709813,7.17404E-16,7.17392E-16,1.13071E-20,1.57611E-05,0.000104612,0,1.33614E-36
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0746248,6.70328E-16,6.70318E-16,9.86514E-21,1.47169E-05,9.02483E-05,0,2.398E-35
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0784553,5.27084E-16,5.27076E-16,7.6483E-21,1.45106E-05,8.06931E-05,0,3.14729E-34
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0824824,4.1842E-16,4.18415E-16,5.3791E-21,1.28557E-05,7.54456E-05,0,3.63017E-33
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0867162,3.50631E-16,3.50627E-16,4.14557E-21,1.18232E-05,7.24558E-05,0,3.86615E-32
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.0911674,3.05973E-16,3.0597E-16,3.47758E-21,1.13656E-05,7.03679E-05,0,3.77258E-31
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.095847,2.73543E-16,2.73541E-16,2.75913E-21,1.00866E-05,7.42E-05,0,3.33815E-30
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.100767,2.39749E-16,2.39748E-16,1.88279E-21,7.85315E-06,8.65405E-05,0,2.57839E-29
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.105939,2.08727E-16,2.08726E-16,1.3046E-21,6.25029E-06,9.33548E-05,0,1.77141E-28
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.111377,1.78899E-16,1.78898E-16,7.98156E-22,4.4615E-06,0.00010684,0,1.07873E-27
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.117094,1.51589E-16,1.51589E-16,4.9772E-22,3.28335E-06,9.78249E-05,0,5.87775E-27
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.123105,1.27404E-16,1.27404E-16,3.24347E-22,2.54582E-06,8.3924E-05,0,2.88933E-26
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.129424,1.07172E-16,1.07172E-16,2.08665E-22,1.94701E-06,7.05812E-05,0,1.29912E-25
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.136067,9.72087E-17,9.72086E-17,1.35199E-22,1.39081E-06,5.97172E-05,0,5.78195E-25
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.143051,8.82661E-17,8.8266E-17,8.88062E-23,1.00612E-06,5.094E-05,0,2.37502E-24
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.150394,8.34397E-17,8.34397E-17,6.05029E-23,7.25108E-07,4.34839E-05,0,9.40215E-24
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.158114,8.2549E-17,8.2549E-17,4.57581E-23,5.54315E-07,3.72362E-05,0,3.62E-23
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.16623,8.59168E-17,8.59167E-17,4.22689E-23,4.91975E-07,3.20106E-05,0,1.36766E-22
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.174762,9.42377E-17,9.42377E-17,5.09317E-23,5.4046E-07,2.75238E-05,0,5.09696E-22
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.183733,1.09007E-16,1.09006E-16,7.27303E-23,6.67211E-07,2.34417E-05,0,1.88126E-21
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.193164,1.3506E-16,1.3506E-16,1.15528E-22,8.55381E-07,1.95068E-05,0,7.00693E-21
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.203079,1.76915E-16,1.76915E-16,1.76298E-22,9.96514E-07,1.56426E-05,0,2.6071E-20
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.213503,2.17706E-16,2.17706E-16,2.16292E-22,9.93502E-07,1.20307E-05,0,8.63525E-20
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.224463,2.08764E-16,2.08764E-16,1.79658E-22,8.6058E-07,8.90729E-06,0,2.11764E-19
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.235984,1.61238E-16,1.61238E-16,1.21861E-22,7.5578E-07,6.3571E-06,0,3.98418E-19
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.248097,1.21783E-16,1.21783E-16,7.88745E-23,6.47666E-07,4.8698E-06,0,6.99931E-19
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.260832,9.75005E-17,9.75004E-17,5.41681E-23,5.55568E-07,5.06784E-06,0,1.24734E-18
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.274221,8.29588E-17,8.29588E-17,3.90704E-23,4.70962E-07,6.77691E-06,0,2.26562E-18
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.288297,7.3885E-17,7.38849E-17,2.91213E-23,3.94144E-07,9.09194E-06,0,4.1395E-18
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.303095,6.68034E-17,6.68033E-17,2.24408E-23,3.35923E-07,1.01939E-05,0,7.39287E-18
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.318653,5.80204E-17,5.80204E-17,1.74741E-23,3.01171E-07,1.06359E-05,0,1.22338E-17
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.335009,5.06079E-17,5.06079E-17,1.37636E-23,2.71965E-07,1.04589E-05,0,1.96452E-17
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.352205,4.33415E-17,4.33415E-17,1.09747E-23,2.53214E-07,9.92402E-06,0,2.99777E-17
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.370284,3.53494E-17,3.53494E-17,8.82833E-24,2.49745E-07,9.27773E-06,0,4.22286E-17
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.389291,2.49579E-17,2.49579E-17,7.15635E-24,2.86737E-07,8.64973E-06,0,4.99892E-17
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.409273,1.76707E-17,1.76707E-17,5.81837E-24,3.29266E-07,8.04008E-06,0,5.76881E-17
carbonaceous,3,3.55E-08,0,True,22370200,0.184662,100,IRSF,1,-1,0.430281,1.46942E-17,1.46942E-17,4.73522E-24,3.2225E-07,7.4609E-06,0,7.611E-17
