composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.05,1.90231E-16,1.90225E-16,6.50925E-21,3.42176E-05,0.000275342,0,2.24672E-49
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0525665,2.20306E-16,2.20299E-16,6.9783E-21,3.16756E-05,0.00024527,0,1.81864E-47
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0552647,2.54214E-16,2.54207E-16,7.47485E-21,2.94038E-05,0.00021841,0,1.18633E-45
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0581015,2.88455E-16,2.88447E-16,7.88408E-21,2.73321E-05,0.000194389,0,6.21665E-44
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0610839,3.26963E-16,3.26955E-16,8.38067E-21,2.56318E-05,0.000171204,0,2.6844E-42
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0642193,3.81784E-16,3.81775E-16,9.33406E-21,2.44485E-05,0.000148074,0,9.94168E-41
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0675157,4.6483E-16,4.64819E-16,1.09627E-20,2.35843E-05,0.000124772,0,3.22476E-39
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0709813,5.15439E-16,5.15428E-16,1.13071E-20,2.19368E-05,0.000104612,0,8.06989E-38
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0746248,4.89672E-16,4.89663E-16,9.86514E-21,2.01464E-05,9.02483E-05,0,1.47743E-36
graphite,2,3.55E-08,0,True,16757100,0.0234819,100,IRSF,1,-1,0.0784553,4.17434E-16,4.17427E-16,7.6483E-21,1.83222E-05,8.06931E-05,0,2.0885E-35
