composition,compostion_id,grain_size,size_index,stochastic_heating,heating_timescale,cooling_timescale,heat2cool_ratio,type,scale,temperature,wavelength,Cext,Cabs,Csca,albedo,g,eq_emis,st_emis
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.05,1.88971E-16,1.88967E-16,3.32506E-21,1.75956E-05,0.0002936,0,1.61478E-45
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0525665,1.95394E-16,1.95391E-16,3.16678E-21,1.62072E-05,0.000263942,0,7.61579E-44
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0552647,2.04943E-16,2.0494E-16,3.13662E-21,1.53049E-05,0.000236227,0,3.12027E-42
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0581015,2.24607E-16,2.24603E-16,3.37326E-21,1.50185E-05,0.000209969,0,1.12698E-40
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0610839,2.54407E-16,2.54404E-16,3.78837E-21,1.4891E-05,0.000185993,0,3.54755E-39
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0642193,2.83045E-16,2.83041E-16,4.10088E-21,1.44884E-05,0.000165142,0,9.29532E-38
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0675157,3.00477E-16,3.00473E-16,4.15844E-21,1.38394E-05,0.000147567,0,1.98266E-36
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0709813,3.01446E-16,3.01442E-16,3.93521E-21,1.30544E-05,0.000133306,0,3.434E-35
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0746248,2.85521E-16,2.85518E-16,3.48493E-21,1.22055E-05,0.000122412,0,4.85979E-34
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0784553,2.55601E-16,2.55598E-16,2.884E-21,1.12832E-05,0.000115038,0,5.66447E-33
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0824824,2.167E-16,2.16697E-16,2.20846E-21,1.01913E-05,0.00011105,0,5.48524E-32
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0867162,1.98567E-16,1.98566E-16,1.741E-21,8.76782E-06,0.000102433,0,5.06809E-31
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.0911674,1.8741E-16,1.87409E-16,1.5377E-21,8.20498E-06,9.36982E-05,0,4.28384E-30
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.095847,1.62039E-16,1.62038E-16,1.28875E-21,7.95333E-06,9.01017E-05,0,2.9631E-29
silicates,4,3.55E-08,0,True,87679400,0.0201451,100,IRSF,1,-1,0.100767,1.36978E-16,1.36977E-16,1.04113E-21,7.60072E-06,8.76511E-05,0,1.79993E-28
